name,category_id
水を飲む,1
歯磨き,1
健康な食事,1
食事日記,1
野菜を食べる,1
果物を食べる,1
ビタミンをとる,1
サプリを飲む,1
砂糖をとらない,1
ファーストフードを食べない,1
炭酸飲料を飲まない,1
アルコールを飲まない,1
お菓子を食べない,1
タバコを吸わない,1
爪を噛まない,1
カフェインをとらない,1
運動,2
ストレッチ,2
散歩,2
ジョギング,2
筋トレ,2
階段を使う,2
スポーツをする,2
ヨガをする,2
自転車に乗る,2
水泳をする,2
電車で座らずに立つ,2
瞑想,3
日記をつける,3
外出する,3
読書をする,3
新しい趣味を見つける,3
ゲームをする,3
リラックスする,3
静かな場所で過ごす,3
深呼吸する,3
ボランティア,3
優先順位をつける,4
一番重要なことを決める,4
明日の計画を立てる,4
早起きする,4
11時にベッドに入る,4
SNSを使用しない,4
ベッドの中でスマホを触らない,4
TVの時間を少なくする,4
ゲームの時間を少なくする,4
TODOリストを0にする,4
ポモドーロテクニックを使用する,4
休憩をとる,4
副業をする,4
週間計画を立てる,4
節約する,5
借金を返す,5
銀行口座を確認する,5
支出を管理する,5
請求書を支払い,5
クレジットカードの支払い,5
ローンの支払い,5
自炊する,5
昼食をお弁当にする,5
衝動買いを抑える,5
投資をする,5
ビジネス書を読む,6
勉強をする,6
語学を学ぶ,6
ノートを見返す,6
質問をする,6
課外活動をする,6
宿題をする,6
メンターを見つける,6
脳トレをする,6
フラッシュカードで勉強する,6
小説を読む,7
映画を観る,7
ゲームをする,7
ギターを弾く,7
ピアノを弾く,7
ゴルフに行く,7
釣りに行く,7
ガーデニングする,7
音楽を聴く,7
編み物をする,7
作りたいものを考える,7
小説を書く,7
絵を描く,7
写真を撮る,7
片付け,8
洗濯,8
皿洗い,8
掃除,8
床を履く,8
モップをかける,8
ベットメイキングをする,8
夕食を作る,8
ペットに餌を与える,8
犬の散歩に行く,8
お風呂掃除をする,8
車を洗う,8
メール処理をする,8
家族の時間を作る,9
子供との時間を作る,9
家族に電話する,9
友達に連絡する,9
遊ぶ予定を決める,9
手紙を書く,9
お礼を言う,9
手伝いをする,9
新しい人と会う,9
人の話を聴く,9
簿記の学習,10
支払いを済ませる,10
事業費を追う,10
税金を支払う,10
TODOリストを実行する,10
人脈を作る,10
ビジネス書を読む,10
メンターを探す,10
お客さんと話す,10
